,title,link,by-line
86,Pacer Siddharth Kaul announces retirement from all forms of cricket,https://www.thehindu.com/sport/cricket/pacer-siddharth-kaul-announces-retirement-from-all-forms-of-cricket/article68924016.ece,PTI
87,INDIAN PREMIER LEAGUE | Unexpected call up for Vignesh Puthur,https://www.thehindu.com/sport/cricket/indian-premier-league-unexpected-call-up-for-vignesh-puthur/article68923003.ece,M. R. Praveen Chandran
88,‘Six-hitter’ Abhinav Manohar hopes for more playing opportunities at SRH,https://www.thehindu.com/sport/cricket/cricket/article68922192.ece,Vivek  Krishnan
89,Hybrid model for Champions Trophy not acceptable: PCB tells ICC ahead of board meeting,https://www.thehindu.com/sport/cricket/pakistan-cricket-board-not-for-hybrid-model-at-icc-champions-trophy/article68922795.ece,PTI
90,Border-Gavaskar Trophy second Test: Beau Webster added to Australian squad,https://www.thehindu.com/sport/cricket/india-vs-australia-second-test-in-adelaide-day-and-night-test-beau-webster-added-to-australia-squad/article68922332.ece,K C Vijaya Kumar
91,K.L. Rahul shone bright in Perth as he strives to cement his Test spot,https://www.thehindu.com/sport/cricket/kl-rahul-shone-bright-in-perth-as-he-strives-to-cement-his-test-spot/article68922126.ece,K C Vijaya Kumar
92,NZ vs Eng 1st Test: Kane Williamson scores 93 to take New Zealand to 319-8 on Day 1,https://www.thehindu.com/sport/cricket/new-zealand-vs-england-1st-test-day-1-report-kane-williamson/article68921884.ece,AP
93,Border-Gavaskar series: Uncapped Webster called into Australia squad for second Test,https://www.thehindu.com/sport/cricket/india-vs-australia-adelaide-test-beau-webster-included-in-australian-squad/article68921716.ece,AFP
94,Sri Lanka and rain allow South Africa only 80-4 on Day 1 of 1st test,https://www.thehindu.com/sport/cricket/sri-lanka-and-rain-allow-south-africa-only-80-4-on-day-1-of-1st-test/article68920383.ece,AP
95,Bumrah regains top spot in ICC Test bowling rankings; Jaiswal rises to second among batters,https://www.thehindu.com/sport/cricket/bumrah-regains-top-spot-in-icc-test-bowling-rankings-jaiswal-rises-to-second-among-batters/article68920350.ece,PTI
96,India pulls a switcheroo thanks to courage of conviction,https://www.thehindu.com/sport/cricket/india-pulls-a-switcheroo-thanks-to-courage-of-conviction/article68919112.ece,Suresh Menon
97,Border-Gavaskar Trophy: Virat Kohli’s Perth odyssey — a testament to his longevity,https://www.thehindu.com/sport/cricket/border-gavaskar-trophy-virat-kohlis-perth-odyssey-a-testament-to-his-longevity/article68920259.ece,K C Vijaya Kumar
98,Syed Mushtaq Ali Trophy: A Hardik special gives Baroda a spectacular win over Tamil Nadu,https://www.thehindu.com/sport/cricket/cricket-a-hardik-special-gives-baroda-a-spectacular-win-over-tamil-nadu/article68919677.ece,Vivek  Krishnan
99,Urvil smashes second-fastest century in T20s,https://www.thehindu.com/sport/cricket/cricket/article68918492.ece,Sports Bureau
100,Saurashtra puts in all-round show to ease past Karnataka,https://www.thehindu.com/sport/cricket/cricket/article68918339.ece,Vivek  Krishnan
101,"Jaiswal will score more than 40 Test hundreds, he doesn't have many weaknesses: Glenn Maxwell",https://www.thehindu.com/sport/cricket/jaiswal-will-score-more-than-40-test-hundreds-he-doesnt-have-many-weaknesses-glenn-maxwell/article68917635.ece,PTI
102,Phillip Hughes: Australia remembers cricketer 10 years after tragic death,https://www.thehindu.com/sport/cricket/phillip-hughes-australia-remembers-cricketer-10-years-after-tragic-death/article68917320.ece,K C Vijaya Kumar
103,IPL Auction 2025: Of high bids and inflated price tags,https://www.thehindu.com/sport/cricket/ipl-auction-2025-of-high-bids-and-inflated-price-tags/article68916167.ece,Amol Karhadkar
